date,text,actor1,actor2,label,source,GoldsteinScale
2025-05-19,GDELT event between Unknown and USA with code 42,Unknown,USA,0,gdelt,1.9
2025-05-20,GDELT event between PAK and PAK with code 20,PAK,PAK,0,gdelt,3.0
2025-05-20,GDELT event between Unknown and AFR with code 42,Unknown,AFR,0,gdelt,1.9
2025-05-19,GDELT event between USA and Unknown with code 10,USA,Unknown,0,gdelt,0.0
2025-05-19,GDELT event between Unknown and Unknown with code 36,Unknown,Unknown,0,gdelt,4.0
2025-05-20,GDELT event between Unknown and USA with code 173,Unknown,USA,0,gdelt,-5.0
2025-05-19,GDELT event between CHN and CHN with code 62,CHN,CHN,0,gdelt,7.4
2025-05-20,GDELT event between CHN and Unknown with code 110,CHN,Unknown,0,gdelt,-2.0
2025-05-19,GDELT event between USA and Unknown with code 13,USA,Unknown,0,gdelt,0.4
2025-05-19,GDELT event between RUS and Unknown with code 20,RUS,Unknown,0,gdelt,3.0
2025-05-20,GDELT event between USA and USA with code 129,USA,USA,0,gdelt,-5.0
2025-05-19,GDELT event between Unknown and MEX with code 42,Unknown,MEX,0,gdelt,1.9
2025-05-20,GDELT event between Unknown and Unknown with code 51,Unknown,Unknown,0,gdelt,3.4
2025-05-20,GDELT event between Unknown and Unknown with code 20,Unknown,Unknown,0,gdelt,3.0
2025-05-19,GDELT event between MEX and Unknown with code 20,MEX,Unknown,0,gdelt,3.0
2025-05-19,GDELT event between GBR and GBR with code 55,GBR,GBR,0,gdelt,7.0
2025-05-20,GDELT event between Unknown and Unknown with code 90,Unknown,Unknown,0,gdelt,-2.0
2025-05-20,GDELT event between AUS and Unknown with code 42,AUS,Unknown,0,gdelt,1.9
2025-05-19,GDELT event between GBR and Unknown with code 10,GBR,Unknown,0,gdelt,0.0
2025-05-19,GDELT event between USA and Unknown with code 12,USA,Unknown,0,gdelt,-0.4
2025-05-19,GDELT event between Unknown and Unknown with code 84,Unknown,Unknown,0,gdelt,7.0
2025-05-20,GDELT event between QAT and EGY with code 36,QAT,EGY,0,gdelt,4.0
2025-05-19,GDELT event between CHN and CHN with code 14,CHN,CHN,0,gdelt,0.0
2025-05-20,GDELT event between PAK and Unknown with code 72,PAK,Unknown,0,gdelt,8.3
2025-05-19,GDELT event between Unknown and USA with code 10,Unknown,USA,0,gdelt,0.0
2025-05-19,GDELT event between Unknown and Unknown with code 57,Unknown,Unknown,0,gdelt,8.0
2025-05-19,GDELT event between Unknown and USA with code 42,Unknown,USA,0,gdelt,1.9
2025-05-20,GDELT event between Unknown and IND with code 45,Unknown,IND,0,gdelt,5.0
2025-05-20,GDELT event between Unknown and USA with code 80,Unknown,USA,0,gdelt,5.0
2025-05-20,GDELT event between Unknown and Unknown with code 10,Unknown,Unknown,0,gdelt,0.0
2025-04-20,GDELT event between Unknown and TWN with code 61,Unknown,TWN,0,gdelt,6.4
2025-05-19,GDELT event between Unknown and Unknown with code 90,Unknown,Unknown,0,gdelt,-2.0
2025-05-19,GDELT event between Unknown and Unknown with code 141,Unknown,Unknown,0,gdelt,-6.5
2025-05-19,GDELT event between AUS and Unknown with code 70,AUS,Unknown,0,gdelt,7.0
2025-05-20,GDELT event between MWI and Unknown with code 173,MWI,Unknown,0,gdelt,-5.0
2025-05-19,GDELT event between CAN and Unknown with code 36,CAN,Unknown,0,gdelt,4.0
2025-05-20,GDELT event between UKR and RUS with code 36,UKR,RUS,0,gdelt,4.0
2025-05-20,GDELT event between BGR and TUR with code 141,BGR,TUR,0,gdelt,-6.5
2025-05-19,GDELT event between Unknown and KOR with code 10,Unknown,KOR,0,gdelt,0.0
2025-05-19,GDELT event between USA and ITA with code 46,USA,ITA,0,gdelt,7.0
2025-05-20,GDELT event between AFR and USA with code 841,AFR,USA,0,gdelt,7.0
2025-05-19,GDELT event between Unknown and QAT with code 42,Unknown,QAT,0,gdelt,1.9
2025-05-20,GDELT event between NZL and Unknown with code 111,NZL,Unknown,0,gdelt,-2.0
2025-05-19,GDELT event between USA and USA with code 112,USA,USA,0,gdelt,-2.0
2025-05-19,GDELT event between CAN and Unknown with code 42,CAN,Unknown,0,gdelt,1.9
2025-05-19,GDELT event between JPN and USA with code 36,JPN,USA,0,gdelt,4.0
2025-05-20,GDELT event between Unknown and Unknown with code 60,Unknown,Unknown,0,gdelt,6.0
2025-05-19,GDELT event between Unknown and AUS with code 40,Unknown,AUS,0,gdelt,1.0
2025-05-19,GDELT event between Unknown and EGY with code 181,Unknown,EGY,0,gdelt,-9.0
2025-05-19,GDELT event between USA and Unknown with code 71,USA,Unknown,0,gdelt,7.4
2025-05-20,GDELT event between AUS and Unknown with code 10,AUS,Unknown,0,gdelt,0.0
2025-05-19,GDELT event between USA and Unknown with code 143,USA,Unknown,0,gdelt,-6.5
2025-05-20,GDELT event between AUS and Unknown with code 71,AUS,Unknown,0,gdelt,7.4
2025-05-20,GDELT event between FRA and Unknown with code 14,FRA,Unknown,0,gdelt,0.0
2025-05-19,GDELT event between KOR and JPN with code 46,KOR,JPN,0,gdelt,7.0
2025-05-19,GDELT event between USA and DEU with code 46,USA,DEU,0,gdelt,7.0
2025-05-20,GDELT event between VNM and USA with code 41,VNM,USA,0,gdelt,1.0
2025-05-19,GDELT event between Unknown and GBR with code 130,Unknown,GBR,0,gdelt,-4.4
2025-05-19,GDELT event between Unknown and IND with code 40,Unknown,IND,0,gdelt,1.0
2025-05-19,GDELT event between USA and IRN with code 100,USA,IRN,0,gdelt,-5.0
2025-05-20,GDELT event between AFR and Unknown with code 16,AFR,Unknown,0,gdelt,-2.0
2025-05-12,GDELT event between JPN and KOR with code 42,JPN,KOR,0,gdelt,1.9
2025-05-19,GDELT event between EUR and Unknown with code 42,EUR,Unknown,0,gdelt,1.9
2025-05-20,GDELT event between CAN and Unknown with code 90,CAN,Unknown,0,gdelt,-2.0
2025-05-20,GDELT event between VEN and Unknown with code 10,VEN,Unknown,0,gdelt,0.0
2025-05-20,GDELT event between Unknown and Unknown with code 33,Unknown,Unknown,0,gdelt,5.2
2025-05-20,GDELT event between TUR and BGR with code 40,TUR,BGR,0,gdelt,1.0
2025-05-20,GDELT event between Unknown and Unknown with code 10,Unknown,Unknown,0,gdelt,0.0
2025-05-20,GDELT event between AUS and Unknown with code 60,AUS,Unknown,0,gdelt,6.0
2025-05-19,GDELT event between JPN and USA with code 57,JPN,USA,0,gdelt,8.0
2025-05-19,GDELT event between DEU and ITA with code 40,DEU,ITA,0,gdelt,1.0
2025-05-19,GDELT event between FRA and ITA with code 40,FRA,ITA,0,gdelt,1.0
2025-05-20,GDELT event between KOR and USA with code 42,KOR,USA,0,gdelt,1.9
2025-05-20,GDELT event between EGY and Unknown with code 10,EGY,Unknown,0,gdelt,0.0
2025-05-20,GDELT event between IND and Unknown with code 51,IND,Unknown,0,gdelt,3.4
2025-05-20,GDELT event between USA and Unknown with code 831,USA,Unknown,0,gdelt,5.0
2025-05-19,GDELT event between CHN and Unknown with code 62,CHN,Unknown,0,gdelt,7.4
2025-05-19,GDELT event between Unknown and Unknown with code 43,Unknown,Unknown,0,gdelt,2.8
2025-05-19,GDELT event between USA and Unknown with code 13,USA,Unknown,0,gdelt,0.4
2025-05-20,GDELT event between Unknown and USA with code 80,Unknown,USA,0,gdelt,5.0
2025-05-19,GDELT event between USA and Unknown with code 173,USA,Unknown,0,gdelt,-5.0
2025-05-19,GDELT event between Unknown and CAN with code 42,Unknown,CAN,0,gdelt,1.9
2025-05-20,GDELT event between Unknown and TWN with code 120,Unknown,TWN,0,gdelt,-4.0
2025-05-19,GDELT event between USA and Unknown with code 12,USA,Unknown,0,gdelt,-0.4
2025-05-19,GDELT event between BRA and URY with code 20,BRA,URY,0,gdelt,3.0
2025-05-19,GDELT event between PSE and Unknown with code 110,PSE,Unknown,0,gdelt,-2.0
2025-05-20,GDELT event between Unknown and Unknown with code 51,Unknown,Unknown,0,gdelt,3.4
2025-04-20,GDELT event between Unknown and AUS with code 20,Unknown,AUS,0,gdelt,3.0
2025-05-19,GDELT event between BLR and RUS with code 163,BLR,RUS,0,gdelt,-8.0
2025-05-20,GDELT event between AFR and USA with code 841,AFR,USA,0,gdelt,7.0
2025-05-19,GDELT event between FRA and DEU with code 40,FRA,DEU,0,gdelt,1.0
2025-05-19,GDELT event between USA and Unknown with code 173,USA,Unknown,0,gdelt,-5.0
2025-05-20,GDELT event between Unknown and Unknown with code 111,Unknown,Unknown,0,gdelt,-2.0
2025-05-20,GDELT event between Unknown and Unknown with code 111,Unknown,Unknown,0,gdelt,-2.0
2025-05-20,GDELT event between Unknown and Unknown with code 10,Unknown,Unknown,0,gdelt,0.0
2025-05-20,GDELT event between ARE and Unknown with code 71,ARE,Unknown,0,gdelt,7.4
2025-05-20,GDELT event between Unknown and Unknown with code 173,Unknown,Unknown,0,gdelt,-5.0
2025-05-19,GDELT event between Unknown and USA with code 183,Unknown,USA,0,gdelt,-10.0
2025-05-20,GDELT event between KHM and LAO with code 30,KHM,LAO,0,gdelt,4.0
2025-05-19,GDELT event between Unknown and USA with code 42,Unknown,USA,0,gdelt,1.9
2025-05-20,GDELT event between Unknown and Unknown with code 10,Unknown,Unknown,0,gdelt,0.0
2025-05-20,GDELT event between Unknown and AUS with code 110,Unknown,AUS,0,gdelt,-2.0
2025-05-19,GDELT event between AUS and Unknown with code 43,AUS,Unknown,0,gdelt,2.8
2025-05-20,GDELT event between Unknown and Unknown with code 120,Unknown,Unknown,0,gdelt,-4.0
2025-05-12,GDELT event between JPN and KOR with code 125,JPN,KOR,0,gdelt,-5.0
2025-05-19,GDELT event between Unknown and Unknown with code 841,Unknown,Unknown,0,gdelt,7.0
2025-05-20,GDELT event between JPN and AUS with code 61,JPN,AUS,0,gdelt,6.4
2025-05-19,GDELT event between USA and USA with code 70,USA,USA,0,gdelt,7.0
2025-05-20,GDELT event between AUS and Unknown with code 30,AUS,Unknown,0,gdelt,4.0
2025-05-19,GDELT event between RUS and EUR with code 36,RUS,EUR,0,gdelt,4.0
2025-05-20,GDELT event between USA and Unknown with code 51,USA,Unknown,0,gdelt,3.4
2025-05-20,GDELT event between Unknown and USA with code 112,Unknown,USA,0,gdelt,-2.0
2025-05-19,GDELT event between USA and Unknown with code 114,USA,Unknown,0,gdelt,-2.0
2025-05-19,GDELT event between Unknown and PSE with code 12,Unknown,PSE,0,gdelt,-0.4
2025-05-19,GDELT event between KOR and Unknown with code 46,KOR,Unknown,0,gdelt,7.0
2025-05-19,GDELT event between USA and USA with code 43,USA,USA,0,gdelt,2.8
2025-05-19,GDELT event between GBR and Unknown with code 30,GBR,Unknown,0,gdelt,4.0
2025-05-20,GDELT event between IRN and NGA with code 112,IRN,NGA,0,gdelt,-2.0
2025-05-20,GDELT event between Unknown and Unknown with code 114,Unknown,Unknown,0,gdelt,-2.0
2025-05-19,GDELT event between EUR and Unknown with code 874,EUR,Unknown,0,gdelt,10.0
2025-05-19,GDELT event between USA and USA with code 40,USA,USA,0,gdelt,1.0
2025-05-19,GDELT event between GBR and GBR with code 55,GBR,GBR,0,gdelt,7.0
2025-05-20,GDELT event between EGY and Unknown with code 42,EGY,Unknown,0,gdelt,1.9
2025-05-20,GDELT event between LBY and Unknown with code 10,LBY,Unknown,0,gdelt,0.0
2025-05-19,GDELT event between Unknown and Unknown with code 51,Unknown,Unknown,0,gdelt,3.4
2025-05-20,GDELT event between Unknown and PAK with code 120,Unknown,PAK,0,gdelt,-4.0
2025-05-20,GDELT event between Unknown and Unknown with code 130,Unknown,Unknown,0,gdelt,-4.4
2025-04-19,GDELT event between Unknown and GUY with code 42,Unknown,GUY,0,gdelt,1.9
2025-05-19,GDELT event between Unknown and USA with code 42,Unknown,USA,0,gdelt,1.9
2025-05-20,GDELT event between CAN and ISR with code 20,CAN,ISR,0,gdelt,3.0
2025-05-19,GDELT event between Unknown and Unknown with code 42,Unknown,Unknown,0,gdelt,1.9
2025-05-20,GDELT event between JPN and Unknown with code 14,JPN,Unknown,0,gdelt,0.0
2025-05-20,GDELT event between BGR and TUR with code 40,BGR,TUR,0,gdelt,1.0
2025-05-19,GDELT event between IDN and CHN with code 40,IDN,CHN,0,gdelt,1.0
2025-05-19,GDELT event between FRA and ITA with code 40,FRA,ITA,0,gdelt,1.0
2025-05-20,GDELT event between Unknown and Unknown with code 36,Unknown,Unknown,0,gdelt,4.0
2025-05-20,GDELT event between Unknown and Unknown with code 10,Unknown,Unknown,0,gdelt,0.0
2025-05-20,GDELT event between NZL and AUS with code 110,NZL,AUS,0,gdelt,-2.0
2025-05-20,GDELT event between USA and Unknown with code 71,USA,Unknown,0,gdelt,7.4
2025-05-20,GDELT event between Unknown and TWN with code 42,Unknown,TWN,0,gdelt,1.9
2025-05-19,GDELT event between GBR and FRA with code 57,GBR,FRA,0,gdelt,8.0
2025-05-19,GDELT event between MEX and MEX with code 40,MEX,MEX,0,gdelt,1.0
2025-05-20,GDELT event between USA and PAK with code 80,USA,PAK,0,gdelt,5.0
2024-05-19,GDELT event between Unknown and Unknown with code 71,Unknown,Unknown,0,gdelt,7.4
2025-05-12,GDELT event between JPN and KOR with code 125,JPN,KOR,0,gdelt,-5.0
2025-05-19,GDELT event between MEX and Unknown with code 20,MEX,Unknown,0,gdelt,3.0
2025-05-19,GDELT event between Unknown and USA with code 36,Unknown,USA,0,gdelt,4.0
2025-05-19,GDELT event between Unknown and USA with code 10,Unknown,USA,0,gdelt,0.0
2025-05-19,GDELT event between PSE and Unknown with code 181,PSE,Unknown,0,gdelt,-9.0
2025-05-19,GDELT event between Unknown and Unknown with code 73,Unknown,Unknown,0,gdelt,7.4
2025-05-19,GDELT event between Unknown and SYR with code 90,Unknown,SYR,0,gdelt,-2.0
2025-05-19,GDELT event between FRA and UKR with code 40,FRA,UKR,0,gdelt,1.0
2025-05-19,GDELT event between Unknown and EUR with code 43,Unknown,EUR,0,gdelt,2.8
2025-05-20,GDELT event between Unknown and Unknown with code 30,Unknown,Unknown,0,gdelt,4.0
2025-05-20,GDELT event between CHN and Unknown with code 111,CHN,Unknown,0,gdelt,-2.0
2025-05-19,GDELT event between HUN and Unknown with code 10,HUN,Unknown,0,gdelt,0.0
2025-05-19,GDELT event between Unknown and Unknown with code 71,Unknown,Unknown,0,gdelt,7.4
2025-05-20,GDELT event between Unknown and Unknown with code 61,Unknown,Unknown,0,gdelt,6.4
2025-05-19,GDELT event between MEX and MEX with code 40,MEX,MEX,0,gdelt,1.0
