date,text,label,source,side_a,side_b,type_of_violence,best
2008-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
1992-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,1
1994-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,2
1998-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,23
1999-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,12
2006-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,6
2008-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
2000-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,5
1992-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,13
1992-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,1
1993-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,1
2008-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
1992-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,1
2007-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,19
1993-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,8
2003-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,16
2000-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,3
1998-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,8
1999-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,4
2002-01-01,Type 3 conflict between GIA and Civilians in Algeria,1,ucdp_api,GIA,Civilians,3,26
1996-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,2
1993-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,2
2004-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
1998-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,2
1999-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,2
1997-01-01,Type 3 conflict between GIA and Civilians in Algeria,1,ucdp_api,GIA,Civilians,3,0
1993-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,5
2010-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
2000-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
1998-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,1
2001-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,52
1998-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,1
1993-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,1
1992-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,1
2001-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,4
1992-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,2
2003-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
1995-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,2
1992-01-01,Type 1 conflict between Government of Algeria and Takfir wa'l Hijra in Algeria,1,ucdp_api,Government of Algeria,Takfir wa'l Hijra,1,1
1997-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,6
2000-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
2007-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
1999-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,3
2000-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
1994-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,6
2004-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
2001-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
1999-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,4
2009-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,3
1998-01-01,Type 2 conflict between GIA - El Ahd Battalion and GIA - El Khadra Battalion in Algeria,1,ucdp_api,GIA - El Ahd Battalion,GIA - El Khadra Battalion,2,31
2004-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,6
1993-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,3
1993-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,2
2003-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
2001-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,26
2005-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
1994-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,7
2002-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,4
1998-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,3
2006-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,10
2003-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
2007-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,3
2004-01-01,Type 3 conflict between AQIM and Civilians in Algeria,1,ucdp_api,AQIM,Civilians,3,1
2003-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
2002-01-01,Type 3 conflict between GIA and Civilians in Algeria,1,ucdp_api,GIA,Civilians,3,5
2010-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,3
1993-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,5
2010-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,7
2004-01-01,Type 3 conflict between AQIM and Civilians in Algeria,1,ucdp_api,AQIM,Civilians,3,1
2001-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,6
1994-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,1
1998-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,100
2000-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
1997-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,5
1995-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,10
2003-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,3
2003-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,4
2010-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
2007-01-01,Type 3 conflict between AQIM and Civilians in Algeria,1,ucdp_api,AQIM,Civilians,3,1
2003-01-01,Type 3 conflict between GIA and Civilians in Algeria,1,ucdp_api,GIA,Civilians,3,3
2000-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
2003-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
1992-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,1
1998-01-01,Type 3 conflict between GIA and Civilians in Algeria,1,ucdp_api,GIA,Civilians,3,0
2003-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,3
1994-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,2
2008-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,5
2006-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
2007-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,6
1994-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,1
1999-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,6
2008-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
1996-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,3
2010-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
2003-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,3
1999-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,2
1993-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,1
1994-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,5
2009-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
1999-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,3
1997-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,4
1994-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,8
2003-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
1993-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,3
1998-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,5
1995-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,4
1999-01-01,Type 3 conflict between GIA and Civilians in Algeria,1,ucdp_api,GIA,Civilians,3,5
1997-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,2
2001-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,13
2003-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
2009-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,3
1999-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,6
1997-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,8
1998-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,10
2005-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
1994-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,2
2000-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,6
2004-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,6
2003-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,3
2008-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,0
1999-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,3
2002-01-01,Type 3 conflict between GIA and Civilians in Algeria,1,ucdp_api,GIA,Civilians,3,4
2000-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
2006-01-01,Type 3 conflict between AQIM and Civilians in Algeria,1,ucdp_api,AQIM,Civilians,3,1
1997-01-01,Type 3 conflict between GIA and Civilians in Algeria,1,ucdp_api,GIA,Civilians,3,40
1998-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,10
1995-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,1
1994-01-01,Type 2 conflict between AIS and GIA in Algeria,1,ucdp_api,AIS,GIA,2,15
2006-01-01,Type 3 conflict between AQIM and Civilians in Algeria,1,ucdp_api,AQIM,Civilians,3,4
2003-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
2007-01-01,Type 3 conflict between AQIM and Civilians in Algeria,1,ucdp_api,AQIM,Civilians,3,1
2009-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,10
1995-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,4
1995-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,28
2000-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,14
2002-01-01,Type 3 conflict between GIA and Civilians in Algeria,1,ucdp_api,GIA,Civilians,3,4
2008-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,3
2004-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
2010-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
2003-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
2004-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
2004-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
1994-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,23
2003-01-01,Type 3 conflict between GIA and Civilians in Algeria,1,ucdp_api,GIA,Civilians,3,3
1996-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,3
2007-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
2003-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,3
1992-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,1
2010-01-01,Type 3 conflict between AQIM and Civilians in Algeria,1,ucdp_api,AQIM,Civilians,3,1
2000-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
2000-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,3
1998-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,8
2003-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
2006-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,3
1994-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,5
2009-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
2006-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,14
2002-01-01,Type 3 conflict between GIA and Civilians in Algeria,1,ucdp_api,GIA,Civilians,3,2
1994-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,19
2007-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
2009-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,3
2002-01-01,Type 3 conflict between GIA and Civilians in Algeria,1,ucdp_api,GIA,Civilians,3,1
1996-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,10
1999-01-01,Type 3 conflict between GIA and Civilians in Algeria,1,ucdp_api,GIA,Civilians,3,6
2000-01-01,Type 3 conflict between GIA and Civilians in Algeria,1,ucdp_api,GIA,Civilians,3,3
