date,text,label,source,side_a,side_b,type_of_violence,best
2007-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,0
2010-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
2002-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,7
2007-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
2004-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
2003-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,3
1994-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,6
2000-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
2006-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,3
1994-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,7
2007-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,33
1994-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,10
1993-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,3
2003-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
2002-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
2008-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,0
2002-01-01,Type 3 conflict between GIA and Civilians in Algeria,1,ucdp_api,GIA,Civilians,3,2
2004-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,3
2003-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,2
2003-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,8
1993-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,10
1993-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,1
1994-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,8
2010-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,0
2002-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
2003-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
1998-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,6
1994-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,1
2009-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,4
2001-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
1995-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,4
2004-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
2004-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
1998-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,3
1996-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,0
1998-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,4
2003-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
2001-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
1994-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,18
1998-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,1
2003-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,4
2007-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
1993-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,2
1997-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,4
2007-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
2004-01-01,Type 3 conflict between AQIM and Civilians in Algeria,1,ucdp_api,AQIM,Civilians,3,1
2002-01-01,Type 3 conflict between GIA and Civilians in Algeria,1,ucdp_api,GIA,Civilians,3,2
1993-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,2
1994-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,2
1994-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,3
2002-01-01,Type 3 conflict between GIA and Civilians in Algeria,1,ucdp_api,GIA,Civilians,3,21
2002-01-01,Type 3 conflict between GIA and Civilians in Algeria,1,ucdp_api,GIA,Civilians,3,3
2009-01-01,Type 3 conflict between AQIM and Civilians in Algeria,1,ucdp_api,AQIM,Civilians,3,1
2004-01-01,Type 3 conflict between AQIM and Civilians in Algeria,1,ucdp_api,AQIM,Civilians,3,1
1999-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,2
1995-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,2
2005-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,0
2000-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,22
2002-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
2003-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,3
1998-01-01,Type 2 conflict between GIA - El Forkane and GIA - El Khadra Battalion in Algeria,1,ucdp_api,GIA - El Forkane,GIA - El Khadra Battalion,2,56
1994-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,10
1999-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,1
2005-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,4
2001-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,7
2006-01-01,Type 3 conflict between AQIM and Civilians in Algeria,1,ucdp_api,AQIM,Civilians,3,1
1994-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,1
2004-01-01,Type 3 conflict between AQIM and Civilians in Algeria,1,ucdp_api,AQIM,Civilians,3,2
1995-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,26
2004-01-01,Type 3 conflict between AQIM and Civilians in Algeria,1,ucdp_api,AQIM,Civilians,3,1
2002-01-01,Type 3 conflict between GIA and Civilians in Algeria,1,ucdp_api,GIA,Civilians,3,4
2009-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
1999-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,22
1993-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,1
1998-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,6
2009-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,3
2009-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
2004-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
1995-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,3
2009-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,3
2003-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
2007-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,0
1995-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,0
2002-01-01,Type 3 conflict between GIA and Civilians in Algeria,1,ucdp_api,GIA,Civilians,3,2
2008-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,4
2007-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
2003-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,7
2000-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
2003-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,15
2007-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
1998-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,2
2004-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,6
2004-01-01,Type 3 conflict between AQIM and Civilians in Algeria,1,ucdp_api,AQIM,Civilians,3,1
2002-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
2002-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
1994-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,1
2003-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
1993-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,4
1998-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,1
2004-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
1998-01-01,Type 3 conflict between GIA and Civilians in Algeria,1,ucdp_api,GIA,Civilians,3,2
1996-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,4
2002-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
2007-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
1998-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,4
2004-01-01,Type 3 conflict between AQIM and Civilians in Algeria,1,ucdp_api,AQIM,Civilians,3,4
2006-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
2009-01-01,Type 3 conflict between AQIM and Civilians in Algeria,1,ucdp_api,AQIM,Civilians,3,9
2007-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
1998-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,3
2002-01-01,Type 3 conflict between AQIM and Civilians in Algeria,1,ucdp_api,AQIM,Civilians,3,2
2002-01-01,Type 3 conflict between GIA and Civilians in Algeria,1,ucdp_api,GIA,Civilians,3,2
1993-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,1
2004-01-01,Type 3 conflict between AQIM and Civilians in Algeria,1,ucdp_api,AQIM,Civilians,3,16
2006-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,0
2009-01-01,Type 3 conflict between AQIM and Civilians in Algeria,1,ucdp_api,AQIM,Civilians,3,2
2000-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
2002-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
2002-01-01,Type 3 conflict between GIA and Civilians in Algeria,1,ucdp_api,GIA,Civilians,3,4
1995-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,3
1996-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,10
2002-01-01,Type 3 conflict between GIA and Civilians in Algeria,1,ucdp_api,GIA,Civilians,3,5
2002-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,3
2002-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
1999-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,17
1995-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,4
1999-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,1
1995-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,34
1993-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,5
1996-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,1
1998-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,5
2009-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,4
1991-01-01,Type 1 conflict between Government of Algeria and Takfir wa'l Hijra in Algeria,1,ucdp_api,Government of Algeria,Takfir wa'l Hijra,1,4
2002-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,21
1996-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,3
2002-01-01,Type 3 conflict between GIA and Civilians in Algeria,1,ucdp_api,GIA,Civilians,3,2
2002-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
2000-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,11
2003-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,10
2000-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,12
1994-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,3
1999-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,4
2009-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,5
1992-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,5
2003-01-01,Type 3 conflict between GIA and Civilians in Algeria,1,ucdp_api,GIA,Civilians,3,1
2009-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,13
2008-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
2004-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
2000-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
2004-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
2004-01-01,Type 3 conflict between AQIM and Civilians in Algeria,1,ucdp_api,AQIM,Civilians,3,1
1997-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,1
1994-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,10
2006-01-01,Type 3 conflict between AQIM and Civilians in Algeria,1,ucdp_api,AQIM,Civilians,3,21
2004-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,2
2010-01-01,Type 3 conflict between AQIM and Civilians in Algeria,1,ucdp_api,AQIM,Civilians,3,4
2003-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
1994-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,2
1992-01-01,Type 1 conflict between Government of Algeria and AIS in Algeria,1,ucdp_api,Government of Algeria,AIS,1,0
2004-01-01,Type 3 conflict between AQIM and Civilians in Algeria,1,ucdp_api,AQIM,Civilians,3,1
2006-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,7
2006-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
1998-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,3
2002-01-01,Type 3 conflict between GIA and Civilians in Algeria,1,ucdp_api,GIA,Civilians,3,2
2002-01-01,Type 3 conflict between GIA and Civilians in Algeria,1,ucdp_api,GIA,Civilians,3,4
2004-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,3
2002-01-01,Type 1 conflict between Government of Algeria and AQIM in Algeria,1,ucdp_api,Government of Algeria,AQIM,1,1
1998-01-01,Type 1 conflict between Government of Algeria and GIA in Algeria,1,ucdp_api,Government of Algeria,GIA,1,1
